ID,Section ID,Section Name,Section Name Arabic,Attribute ID,Attribute Name,Parameter ID,Parameter Name,Mandate Level,Value Description,PE,CE,SR,PR,PF,Website,Mobile,EServices
1,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.1,Domain Naming Convention ,QGWS-1.1.1,Protocol,M1," • Both http and https must be accessible and automatically redirect to https.
• All registered domains shall redirect to the primary “. gov.qa” domain. E.g. “hukoomi.qa” redirects to “portal.www.gov.qa”
",Y,,,,,Y,,
2,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.1,Domain Naming Convention ,QGWS-1.1.2,URL,M2,"• Domain names must be logical, simple, short (around 3-14 characters), and only include English letters ‘a to z’, number ‘0 to 9’, and hyphens.
• In case of the use of domain names with public TLDs that can be registered at external registrar such as .com, .net, .org, .qa, etc.  Government entities must register both short and long versions of domain names, e.g. qcert.org
",Y,,,,,Y,,
3,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.1,Domain Naming Convention ,QGWS-1.1.3,TLD,M1,"The top-level domain for all government agencies must end with ‘gov.qa’. For special purpose portals that are related to specific projects or government initiatives (eg. metrash baladiya, tasmu, tasdeeq) all associated commercial sites (i.e. .com / .net / .org / .qa) should also be acquired and tracked to avoid all attempts of cyber crime including but not limited to payment frauds, identity thefts, phishing etc. ",Y,,,,,Y,,
4,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.1,Domain Naming Convention ,QGWS-1.1.4,Sub Domains,M3,"Entities can create sub domains under their main domain name for Entities, events, special projects, etc. to create friendly URLs, e.g. vote.hukoomi.qa, cra.motc.gov.qa, etc.",Y,,,,,Y,,
5,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Domain Management ,QGWS-1.2.1,Registration,M2,"The Communications Regulatory Authority (CRA) must be the issuing/approving authority for all domain registration requests with the ‘gov.qa’, ‘.com.qa’, ‘.qa’ TLDs https://www.cra.gov.qa/ 

Furthermore, MOTC must and will track all websites that attempt to misrepresent government websites across all domains (.com / .net / .org / .qa)
",Y,,,,,Y,,
6,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Domain Management ,QGWS-1.2.2,Renewal,M2,"Government domains must be renewed every two years. The cost for each new registration and renewal is the responsibility of the applying entity.

Failing to renew a domain registration will result in a lapsed domain. The system will delete lapsed domains six months after the registration has expired.
",Y,,,,,Y,,
7,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Domain Management ,QGWS-1.2.3,Transfer,M2,The request for domain transfer will be lodged with the Domain Provider for approval,Y,,,,,Y,,
8,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Domain Management ,QGWS-1.2.4,Deletion,M2,"For Registered domains that are no longer required may be deleted, the request for domain deletion will be lodged with the Domain Provider authority for approval. 

The Domain Provider will verify if there are any dependencies or services reliant on the domain name including email, subdomains, FTP before approving the domain deletion.

",Y,,,,,Y,,
9,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Sub Domain ,QGWS-1.2.1,Duration,M3,"Sub-domain can be created if the project or information is short term, less than one year.",,,,,,Y,,
10,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.2,Sub Domain ,QGWS-1.2.2,Name,M3,The content or information in the subdomain should be appropriate under the parent domain.,,,,,,Y,,
11,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.3,Official Email Address,QGWS-1.3.1,Domain name,M1,"Government entities must use their own domain in all official E-mail addresses published on official channels, e.g. support@motc.gov.qa.",Y,,,,,Y,,
12,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.3,Official Email Address,QGWS-1.3.2,Name,M2,"• Only official email addresses are allowed to be used for official contacts, e.g. info@motc.gov.qa, pr@motc.gov.qa,  finance@motc.gov.qa, etc.
• Personal email addresses are only allowed to be used in directories, and must follow the government employee email ID naming convention, first letter of the first name followed by “.” and then the surname, e.g. s.ahmed@motc.gov.qa
",Y,,,,,Y,,
13,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.3,Official Email Address,QGWS-1.3.1,Retention period,M2,Records of retired usernames and email addresses must be retained for a period of at least 7 years,,,,,,Y,,
14,QGWS-1,Website Registration,تسجيل الموقع,QGWS-1.4,Domain Provider,QGWS-1.4.1,Authority,M1,The MOTC Domain Authority should be the approving/issuing authority for all requests associated with the ‘gov.qa’ domain/subdomain and manage the ‘gov.qa’ policies and administration. Further MOTC must track all sites that attempt to misrepresent government sites across all domains (.com / .net / .org / .qa),,,,,,Y,,
15,QGWS-2,Access & Authentication,الوصول والمصادقه,QGWS-2.1,External user registration – Individual,QGWS-2.1.1,Registration and Authentication ,M1,"Agencies should ensure that individual’s identity in the agencies’ database is mapped to a common digital identity e.g. Qatar ID, appropriate to the assurance level. 

The NAS registration should be minimalistic to only achieve registration function. 

The profile management should be decoupled to agencies as there is no centralized profile management function / department in MOTC.
",Y,,,,,Y,,
